timestamp,open,high,low,close,volume,datetime
1742355900,1673.0,1703.65,1673.0,1703.65,2149,2025-03-19 03:45:00
1742355960,1703.65,1712.9,1690.0,1693.1,4739,2025-03-19 03:46:00
1742356020,1693.1,1693.1,1683.85,1687.25,679,2025-03-19 03:47:00
1742356080,1689.75,1692.0,1687.55,1690.2,1602,2025-03-19 03:48:00
1742356140,1690.2,1695.85,1690.2,1691.75,766,2025-03-19 03:49:00
1742356200,1688.8,1690.35,1685.65,1688.0,508,2025-03-19 03:50:00
1742356260,1691.1,1691.1,1685.65,1688.2,888,2025-03-19 03:51:00
1742356320,1688.2,1691.8,1685.25,1687.55,388,2025-03-19 03:52:00
1742356380,1687.55,1687.55,1680.25,1683.65,907,2025-03-19 03:53:00
1742356440,1683.65,1683.65,1671.35,1674.5,940,2025-03-19 03:54:00
1742356500,1674.5,1674.5,1667.2,1670.7,1639,2025-03-19 03:55:00
1742356560,1674.1,1674.4,1670.0,1670.8,740,2025-03-19 03:56:00
1742356620,1670.2,1673.45,1666.8,1670.2,937,2025-03-19 03:57:00
1742356680,1671.05,1675.05,1670.95,1673.3,392,2025-03-19 03:58:00
1742356740,1677.4,1686.2,1676.0,1686.2,634,2025-03-19 03:59:00
1742356800,1686.05,1691.1,1682.75,1691.1,2369,2025-03-19 04:00:00
1742356860,1691.65,1699.0,1690.6,1693.3,1867,2025-03-19 04:01:00
1742356920,1695.75,1703.5,1695.05,1703.4,1296,2025-03-19 04:02:00
1742356980,1700.4,1700.85,1695.0,1695.0,276,2025-03-19 04:03:00
1742357040,1693.15,1694.9,1689.7,1693.15,311,2025-03-19 04:04:00
1742357100,1693.15,1696.0,1693.15,1694.75,1150,2025-03-19 04:05:00
1742357160,1694.75,1694.75,1691.15,1692.05,430,2025-03-19 04:06:00
1742357220,1692.55,1693.95,1688.9,1692.0,1203,2025-03-19 04:07:00
1742357280,1692.0,1694.45,1689.65,1689.65,300,2025-03-19 04:08:00
1742357340,1689.0,1689.0,1682.25,1682.25,386,2025-03-19 04:09:00
1742357400,1683.9,1687.55,1683.9,1686.2,266,2025-03-19 04:10:00
1742357460,1686.2,1686.2,1683.05,1683.05,168,2025-03-19 04:11:00
1742357520,1683.45,1690.0,1683.45,1690.0,432,2025-03-19 04:12:00
1742357580,1690.0,1692.25,1688.05,1692.25,277,2025-03-19 04:13:00
1742357640,1692.3,1694.1,1690.9,1690.9,350,2025-03-19 04:14:00
1742357700,1690.9,1690.9,1684.7,1687.05,614,2025-03-19 04:15:00
1742357760,1687.05,1687.05,1683.55,1683.65,55,2025-03-19 04:16:00
1742357820,1685.0,1686.35,1685.0,1685.0,514,2025-03-19 04:17:00
1742357880,1685.6,1685.6,1677.0,1677.0,1357,2025-03-19 04:18:00
1742357940,1677.0,1681.3,1676.7,1681.3,261,2025-03-19 04:19:00
1742358000,1681.3,1681.3,1677.85,1678.05,807,2025-03-19 04:20:00
1742358060,1679.5,1679.85,1678.4,1679.85,111,2025-03-19 04:21:00
1742358120,1679.85,1680.8,1675.7,1675.7,1008,2025-03-19 04:22:00
1742358180,1676.65,1676.9,1675.5,1675.65,217,2025-03-19 04:23:00
1742358240,1675.65,1676.65,1673.8,1673.8,1071,2025-03-19 04:24:00
1742358300,1671.75,1677.05,1671.75,1673.65,280,2025-03-19 04:25:00
1742358360,1674.35,1675.15,1673.25,1675.15,266,2025-03-19 04:26:00
1742358420,1675.15,1681.25,1675.15,1678.4,266,2025-03-19 04:27:00
1742358480,1678.0,1680.2,1677.45,1680.15,502,2025-03-19 04:28:00
1742358540,1680.15,1680.15,1678.2,1678.4,106,2025-03-19 04:29:00
1742358600,1678.4,1682.8,1678.4,1682.8,103,2025-03-19 04:30:00
1742358660,1682.8,1683.9,1678.75,1678.8,655,2025-03-19 04:31:00
1742358720,1678.75,1678.8,1676.25,1676.25,198,2025-03-19 04:32:00
1742358780,1676.25,1676.25,1672.6,1673.2,454,2025-03-19 04:33:00
1742358840,1673.2,1674.35,1673.15,1674.25,193,2025-03-19 04:34:00
1742358900,1673.0,1676.45,1672.0,1675.8,1246,2025-03-19 04:35:00
1742358960,1675.8,1677.5,1675.8,1677.5,162,2025-03-19 04:36:00
1742359020,1677.5,1679.1,1675.0,1675.5,1374,2025-03-19 04:37:00
1742359080,1675.5,1677.5,1675.5,1676.05,74,2025-03-19 04:38:00
1742359140,1676.05,1676.05,1672.15,1672.15,727,2025-03-19 04:39:00
1742359200,1671.05,1672.7,1670.0,1672.7,944,2025-03-19 04:40:00
1742359260,1670.8,1672.45,1666.0,1666.9,1177,2025-03-19 04:41:00
1742359320,1666.9,1674.6,1666.9,1674.6,1003,2025-03-19 04:42:00
1742359380,1674.6,1674.6,1671.35,1671.85,80,2025-03-19 04:43:00
1742359440,1672.8,1672.8,1670.3,1670.3,187,2025-03-19 04:44:00
1742359500,1670.3,1671.3,1670.3,1671.3,118,2025-03-19 04:45:00
1742359560,1670.9,1673.15,1670.3,1673.15,421,2025-03-19 04:46:00
1742359620,1674.85,1674.85,1672.15,1673.6,322,2025-03-19 04:47:00
1742359680,1671.55,1674.0,1671.4,1674.0,184,2025-03-19 04:48:00
1742359740,1674.0,1675.15,1674.0,1674.45,331,2025-03-19 04:49:00
1742359800,1673.3,1673.3,1671.4,1671.4,153,2025-03-19 04:50:00
